order_id,product_id,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,review_score,review_comment_message,customer_id,order_status,order_delivered_customer_date,order_estimated_delivery_date,payment_sequential,payment_type,payment_installments,payment_value,customer_zip_code_prefix,customer_city,customer_state,sellers_count,products_count,estimated_delivery_time,actual_delivery_time,diff_in_delivery_time,on_time_delivery,avg_product_value,total_order_cost,order_freight_ratio,purchase_dayofweek,purchase_dayofmonth,purchase_weekofmonth,purchase_weekofyear,is_reviewed,customer_id_int,product_id_int
00010242fe8c5a6d1ba2dd792cb16214,4244733e06e7ecb4970a6e2683c13e61,58.9,13.29,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,"Perfeito, produto entregue antes do combinado.",3ce436f183e68e07877b285a838db11a,delivered,2017-09-20,2017-09-29,1,credit_card,2,72.19,28013,campos dos goytacazes,RJ,9,1,16,7,9,1,58.9,72.19,0.2256366723259762,2,13,1,37,1,0,0
130898c0987d1801452a8ed92a670612,4244733e06e7ecb4970a6e2683c13e61,55.9,17.96,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,"lannister como sempre, entregou certinho e dentro do prazo. recomendo muito",e6eecc5a77de221464d1c4eaff0a9b64,delivered,2017-07-13,2017-07-26,1,boleto,1,73.86,75800,jatai,GO,9,1,27,14,13,1,55.9,73.86,0.3212880143112701,2,28,4,26,1,1,0
532ed5e14e24ae1f0d735b91524b98b9,4244733e06e7ecb4970a6e2683c13e61,64.9,18.33,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,4,carrinho muito bonito,4ef55bf80f711b372afebcb7c715344a,delivered,2018-06-04,2018-06-07,1,credit_card,2,83.23,30720,belo horizonte,MG,9,1,20,17,3,1,64.9,83.23,0.2824345146379044,4,18,2,20,1,2,0
6f8c31653edb8c83e1a739408b5ff750,4244733e06e7ecb4970a6e2683c13e61,58.9,16.17,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,no_review,30407a72ad8b3f4df4d15369126b20c9,delivered,2017-08-09,2017-08-25,1,credit_card,3,75.07,83070,sao jose dos pinhais,PR,9,1,24,8,16,1,58.9,75.07,0.2745331069609508,1,1,0,31,0,3,0
7d19f4ef4d04461989632411b7e588b9,4244733e06e7ecb4970a6e2683c13e61,58.9,13.29,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,no_review,91a792fef70ecd8cc69d3c7feb3d12da,delivered,2017-08-24,2017-09-01,1,credit_card,4,72.19,36400,conselheiro lafaiete,MG,9,1,22,14,8,1,58.9,72.19,0.2256366723259762,3,10,1,32,0,4,0
a0f9acf0b6294ed8561e32cde1a966bc,4244733e06e7ecb4970a6e2683c13e61,55.9,26.93,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,no_review,4851b3bca4a48b395dfad7aa57c3f72a,delivered,2017-08-31,2017-08-24,1,credit_card,1,82.83,44560,dom macedo costa,BA,9,1,27,34,-7,0,55.9,82.83,0.4817531305903399,3,27,3,30,0,5,0
bbf796534aaf9c59f8da8c7982db56e0,4244733e06e7ecb4970a6e2683c13e61,64.9,38.5,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,"Muito bom chegou bem antes do prazo, produto de ótima qualidade meu filho amou ",c32c207d9ebf75958011557ac1624e2f,delivered,2018-03-28,2018-04-12,1,boleto,1,103.4,45160,belo campo,BA,9,1,23,8,15,1,64.9,103.4,0.5932203389830508,6,18,2,11,1,6,0
c9ef97d2854afe64a3b4488bc2836af6,4244733e06e7ecb4970a6e2683c13e61,58.9,18.12,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,5,no_review,0a29abf475fb8039d2775913d6f0b6f0,delivered,2017-08-14,2017-09-06,1,boleto,1,153.75,75903,rio verde,GO,9,2,29,6,23,1,29.45,77.02,0.3076400679117148,5,5,0,31,0,7,0
c9ef97d2854afe64a3b4488bc2836af6,436c8d57ff8d4aa254318e9bd9b48c83,58.9,17.83,54.0,599.0,6.0,530.0,30.0,9.0,14.0,cool_stuff,5,no_review,0a29abf475fb8039d2775913d6f0b6f0,delivered,2017-08-14,2017-09-06,1,boleto,1,153.75,75903,rio verde,GO,3,2,29,6,23,1,29.45,76.72999999999999,0.3027164685908319,5,5,0,31,0,7,1
df2d910b8b5e5f461f67043489f9569d,4244733e06e7ecb4970a6e2683c13e61,55.9,35.71,58.0,598.0,4.0,650.0,28.0,9.0,14.0,cool_stuff,1,o carrinho veio com defeito.,2e76c1f2a920153d79cc98b634c50942,delivered,2017-06-26,2017-07-06,2,voucher,1,20.0,53403,paulista,PE,9,1,31,21,10,1,55.9,91.61,0.638819320214669,0,5,0,23,1,8,0
